iter	MultiClass
0	1.069492841
1	1.045626194
2	1.019960371
3	0.9982963639
4	0.9735637546
5	0.9535893775
6	0.9325693445
7	0.9113832944
8	0.8935124492
9	0.8794561869
10	0.8641064698
11	0.8457608257
12	0.8305218544
13	0.8179629474
14	0.8033614315
15	0.7915302264
16	0.7736568758
17	0.7579497105
18	0.7420758783
19	0.7271826555
20	0.7123493038
21	0.7015213303
22	0.689114457
23	0.6799666337
24	0.6684015337
25	0.6569215476
26	0.6457407731
27	0.6349879589
28	0.6231101377
29	0.6122640095
30	0.6030580749
31	0.5913301356
32	0.5811815669
33	0.5709393151
34	0.5612349619
35	0.5514717044
36	0.5419748981
37	0.5329722917
38	0.5246641572
39	0.5177638898
40	0.508870875
41	0.5038368028
42	0.4977167278
43	0.4932553903
44	0.486881066
